
> @once-ui-system/magic-portfolio@1.3.0 start /app
> serve out

 INFO  Accepting connections at http://localhost:3000
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 29 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 40 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 29 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 40 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fmarton.avif&w=32&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fveera.avif&w=32&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fmariia.avif&w=32&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/foamflask_post_1/__next.blog.txt?_rsc=1cgf1
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Felise.avif&w=32&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 14 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 16 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 23 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 22 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 23 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/ffe8a55b190227dc.js
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/d7053a49cabfdbda.js
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/foamflask_post_1/__next.blog.$d$slug.txt?_rsc=81bq7
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/foamflask_post_1/__next.blog.$d$slug.__PAGE__.txt?_rsc=1m1zi
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 23 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/__next._head.txt?_rsc=wydan
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/__next.blog.__PAGE__.txt?_rsc=105z7
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 29 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 50 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 38 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 35 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 39 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next._head.txt?_rsc=wydan
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 13 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/__next._tree.txt?_rsc=3hopl
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next._tree.txt?_rsc=3hopl
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next.publications.txt?_rsc=nh4gu
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next._tree.txt?_rsc=3hopl
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next._tree.txt?_rsc=3hopl
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next.publications.__PAGE__.txt?_rsc=1z0t9
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/__next._head.txt?_rsc=wytjj
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 206 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 1 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/__next._index.txt?_rsc=1x0l9
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next._head.txt?_rsc=wydan
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next.work.txt?_rsc=9376h
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next.work.__PAGE__.txt?_rsc=ocqxk
 HTTP  1/13/2026 7:08:44 PM ::1 GET /images/icons/g_scholar.avif
 HTTP  1/13/2026 7:08:44 PM ::1 GET /images/icons/orcid.avif
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/2ba17b095ea5ec80.js
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next._head.txt?_rsc=wydan
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/__next.blog.txt?_rsc=1cgva
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 19 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 13 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 13 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 27 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /__next._tree.txt?_rsc=3hopl
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 26 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 6 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 30 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 30 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/__next.blog.__PAGE__.txt?_rsc=106fg
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next.about.txt?_rsc=1gq73
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 7 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next.about.__PAGE__.txt?_rsc=dgjqw
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/f5ee397c7d17c059.js
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next._head.txt?_rsc=wytjj
